rua,bairro,cidade,uf,cep,país,endereco_completo,cartorio
Rua Paulo Eduardo do Valle Pereira 600, Vila Bela Flor, Mogi das Cruzes, São Paulo, 08745-575, BRA,"Rua Paulo Eduardo do Valle Pereira 600, Vila Bela Flor, Mogi das Cruzes, São Paulo, 08745-575, BRA",O endereço digitado pertence ao 2º Registro de Imóveis de Mogi das Cruzes - Mogi das Cruzes - SP.
Avenida Paulista 1035, Montes Claros, Minas Gerais, 39402-265, BRA,,"Avenida Paulista 1035, Montes Claros, Minas Gerais, 39402-265, BRA",O endereço digitado pertence ao 2º Registro de Imóveis de Montes Claros - Montes Claros - MG.
Rua Presidente Castelo Branco 454, Montes Claros, Minas Gerais, 39400-419, BRA,,"Rua Presidente Castelo Branco 454, Montes Claros, Minas Gerais, 39400-419, BRA",O endereço digitado pertence ao 1º Registro de Imóveis de Montes Claros - Montes Claros - MG.
